taxon_name,species_name,ID,decimalLatitude,decimalLongitude,database,datasetName,rightsHolder
Quercus hinckleyi,Quercus hinckleyi,QUHI055,29.445533,-103.857683,Blacks_Martin,NA,Janet Blacks
Quercus hinckleyi,Quercus hinckleyi,QUHI056,29.445583,-103.857633,Blacks_Martin,NA,Janet Blacks
Quercus hinckleyi,Quercus hinckleyi,QUHI057,29.44555,-103.857583,Blacks_Martin,NA,Janet Blacks
Quercus hinckleyi,Quercus hinckleyi,QUHI058,29.44555,-103.857583,Blacks_Martin,NA,Janet Blacks
Quercus hinckleyi,Quercus hinckleyi,QUHI059,29.44555,-103.857583,Blacks_Martin,NA,Janet Blacks
Quercus hinckleyi,Quercus hinckleyi,QUHI060,29.445433,-103.85735,Blacks_Martin,NA,Janet Blacks
Quercus hinckleyi,Quercus hinckleyi,QUHI061,29.445433,-103.85735,Blacks_Martin,NA,Janet Blacks
Quercus hinckleyi,Quercus hinckleyi,QUHI062,29.445433,-103.85735,Blacks_Martin,NA,Janet Blacks
Quercus hinckleyi,Quercus hinckleyi,QUHI063,29.445433,-103.85735,Blacks_Martin,NA,Janet Blacks
Quercus hinckleyi,Quercus hinckleyi,QUHI064,29.444767,-103.857633,Blacks_Martin,NA,Janet Blacks
Quercus hinckleyi,Quercus hinckleyi,QUHI071,29.4459,-103.8566,Blacks_Martin,NA,Janet Blacks
Quercus hinckleyi,Quercus hinckleyi,QUHI072,29.4459,-103.8566,Blacks_Martin,NA,Janet Blacks
Quercus hinckleyi,Quercus hinckleyi,QUHI073,29.445833,-103.85655,Blacks_Martin,NA,Janet Blacks
Quercus hinckleyi,Quercus hinckleyi,QUHI074,29.445833,-103.85655,Blacks_Martin,NA,Janet Blacks
Quercus hinckleyi,Quercus hinckleyi,QUHI075,29.445833,-103.85655,Blacks_Martin,NA,Janet Blacks
Quercus hinckleyi,Quercus hinckleyi,QUHI076,29.445833,-103.85655,Blacks_Martin,NA,Janet Blacks
Quercus hinckleyi,Quercus hinckleyi,QUHI077,29.445833,-103.85655,Blacks_Martin,NA,Janet Blacks
Quercus hinckleyi,Quercus hinckleyi,QUHI078,29.444433,-103.855683,Blacks_Martin,NA,Janet Blacks
Quercus hinckleyi,Quercus hinckleyi,QUHI079,29.444433,-103.855683,Blacks_Martin,NA,Janet Blacks
Quercus hinckleyi,Quercus hinckleyi,QUHI080,29.444433,-103.855683,Blacks_Martin,NA,Janet Blacks
Quercus hinckleyi,Quercus hinckleyi,QUHI081,29.4454,-103.855017,Blacks_Martin,NA,Janet Blacks
Quercus hinckleyi,Quercus hinckleyi,QUHI082,29.4454,-103.855017,Blacks_Martin,NA,Janet Blacks
Quercus hinckleyi,Quercus hinckleyi,QUHI083,29.444233,-103.8542,Blacks_Martin,NA,Janet Blacks
Quercus hinckleyi,Quercus hinckleyi,QUHI084,29.444233,-103.8542,Blacks_Martin,NA,Janet Blacks
Quercus hinckleyi,Quercus hinckleyi,QUHI085,29.444233,-103.8542,Blacks_Martin,NA,Janet Blacks
